,dc:identifier,schema:geo.schema:latitude,schema:geo.schema:longitude
0,68385,50.288508,2.777346
0,15391,50.508805,1.788066
0,56998,50.334285,2.915132
0,76802,50.405677,1.563991
0,60965,50.406001,1.560301
0,80059,50.886256,1.66464
0,56990,50.949776,1.877521
0,88760,50.568379,1.615115
0,14047,50.52444,2.100222
0,15240,50.514177,1.932958
0,57131,50.658745,2.767483
0,74267,50.48072,1.583943
0,88802,50.410876,1.567181
0,73462,50.666223,1.679572
0,13921,50.883315,1.664635
0,91918,50.354605,2.487269
0,76858,50.463487,1.763309
0,92062,50.575404,1.577935
0,15236,50.614613,1.996711
0,80024,50.4386,2.861612
0,60161,50.678375,2.338339
0,68199,50.318658,2.784642
0,63953,50.848023,1.998036
0,54798,50.515892,1.63936
0,15395,50.378365,1.728812
0,85686,50.854326,2.135091
0,78711,50.477594,1.577749
0,70853,50.620434,1.734286
0,14878,50.866468,1.860153
0,79295,50.428518,2.828363
0,77298,50.603628,1.742548
0,14541,50.798695,1.824109
0,15156,50.479886,1.608118
0,15463,50.878974,2.078131
0,64561,50.460923,1.758551
0,97259,50.730244,1.596798
0,62946,50.713059,2.110869
0,14779,50.718074,2.131606
0,89766,50.706166,1.569323
0,99269,50.428574,2.834084
0,89106,50.864997,1.993421
0,45228,50.860329,1.712675
0,96629,50.583314,1.826715
0,92057,50.572879,1.594051
0,89773,50.408982,1.730096
0,90614,50.57885,1.582242
0,36997,50.989205,1.985483
0,57074,50.767079,1.611229
0,68278,50.536941,2.638703
0,61610,50.937536,1.809945
0,74952,50.681771,1.92965
0,15141,50.480146,1.645979
0,37001,50.966248,2.052871
0,81334,50.52007,1.583144
0,76697,50.594856,1.825865
0,82618,50.413468,1.647231
0,78846,50.294307,2.787722
0,89075,50.780102,1.923137
0,57140,50.287957,2.781377
0,75751,50.772092,1.606975
0,14479,50.678725,1.865263
0,14976,50.839515,1.986172
0,88618,50.37427,2.174864
0,79582,50.46093,1.761324
0,15425,50.516968,1.809096
0,14671,50.788418,2.178454
0,77917,50.436377,2.556249
0,79414,50.382499,2.884433
0,84426,50.71429,1.613939
0,56665,50.568886,1.60927
0,89109,50.88759,1.884073
0,14669,50.736822,2.26524
0,80811,50.408337,1.58749
0,78549,50.393668,2.779398
0,89076,50.782763,1.924957
0,79418,50.391442,2.728008
0,15250,50.566749,1.90554
0,63122,50.376123,1.65477
0,85157,50.428793,2.817533
0,97773,50.478699,1.576547
0,14149,50.467372,2.040496
0,92300,50.405927,2.846351
0,36999,50.996193,2.04573
0,36995,50.869348,2.097286
0,86029,50.574592,1.578707
0,76762,50.697818,1.662073
0,89792,50.778582,1.608341
0,15394,50.431484,1.71331
